MUTUAL FUND ,Type,Risk,5Y Retuns,Minimum Investment,Minimum SIP,LockIn Time,Link,Objective
ICICI Prudential Short Term Fund ,Debit,Moderate,7.58,5000,1000,0,https://groww.in/mutual-funds/icici-prudential-short-term-plan-growth,
ICICI Prudential Liquid Fund ,Debit,Moderate,5.42,100,100,7 Days,https://groww.in/mutual-funds/icici-prudential-liquid-fund-direct-plan-growth,
ICICI Prudential All Seasons Bond Fund ,Debit,Moderate,8.4,5000,100,1 Month,https://groww.in/mutual-funds/icici-prudential-long-term-plan-direct-growth,
ICICI Prudential Banking & PSU Debt ,Debit,Moderate,7,500,100,0,https://groww.in/mutual-funds/icici-prudential-banking-psu-debt-fund-direct-growth,
ICICI Prudential Ultra Short Term Fund ,Debit,Moderate,6.4,5000,1000,0,https://groww.in/mutual-funds/icici-prudential-regular-i-come-fund-direct-growth,
ICICI Prudential Corporate Bond Fund ,Debit,Moderate,7.18,100,100,0,https://groww.in/mutual-funds/icici-prudential-ultra-short-term-plan-direct-growth,
ICICI Prudential Gilt Fund ,Debit,Moderate,7.85,5000,1000,0,https://groww.in/mutual-funds/icici-prudential-long-term-gilt-fund-direct-growth,
ICICI Prudential Debt Management Fund (FOF) ,Debit,Moderate,6.91,100,100,15Days,https://groww.in/mutual-funds/icici-prudential-dynamic-accrual-plan-direct-growth,
ICICI Prudential Long Term Bond Fund ,Debit,Moderate,6.46,5000,1000,0,https://groww.in/mutual-funds/icici-prudential-i-come-fund-direct-growth,
ICICI Prudential Credit Risk Fund ,Debit,High,8.05,100,100,1Year,https://groww.in/mutual-funds/icici-prudential-credit-risk-fund-direct-growth,
ICICI Prudential Overnight Fund ,Debit,Low,4.92,100,100,1Year,https://groww.in/mutual-funds/icici-prudential-overnight-fund-direct-growth,
ICICI Prudential Floating Interest Fund ,Debit,Moderate,7.34,500,100,0,https://groww.in/mutual-funds/icici-prudential-savings-fund-direct-growth,
ICICI Prudential Money Market ,Debit,Moderate,6.05,500,100,0,https://groww.in/mutual-funds/icici-prudential-money-market-fund-direct-growth,
ICICI Prudential Medium Term Bond Fund ,Debit,Moderate High,7.69,5000,1000,1Year,https://groww.in/mutual-funds/icici-prudential-corporate-bond-fund-direct-growth,
ICICI Prudential Nifty PSU Bond Plus SDL Index Fund ,Debit,Low Moderate,5.81,1000,500,0,https://groww.in/mutual-funds/icici-prudential-psu-bond-plus-sdl-40:60-index-fund-sep-2027-direct-growth,
ICICI Prudential Savings Fund ,Debit,Low Moderate,6.57,100,100,0,https://groww.in/mutual-funds/icici-prudential-flexible-i-come-plan-direct-growth,
ICICI Prudential Constant Maturity Gilt Fund ,Debit,Moderate,7.04,5000,1000,0,https://groww.in/mutual-funds/icici-prudential-constant-maturity-gilt-fund-direct-growth,
ICICI Prudential Bond Fund ,Debit,Moderate,7.23,5000,1000,0,https://groww.in/mutual-funds/icici-prudential-i-come-opportunities-fund-direct-growth,
ICICI Prudential Retirement Fund Pure Debt Plan ,Debit,Moderate High,7.13,5000,100,5Year,https://groww.in/mutual-funds/icici-prudential-retirement-fund-pure-debt-plan-direct-growth,
ICICI Prudential Nifty SDL Index Fund ,Debit,Low Moderate,7.49,1000,500,0,https://groww.in/mutual-funds/icici-prudential-psu-bond-plus-sdl-40:60-index-fund-sep-2027-direct-growth,
ICICI Prudential Regular Gold Savings (FOF) ,Commodities,High,12.31,100,100,15Days,https://groww.in/mutual-funds/icici-prudential-regular-gold-savings-fund-direct-growth,
ICICI Prudential Silver ETF FoF ,Commodities,Very High,11.9,100,100,15Days,https://groww.in/mutual-funds/icici-prudential-silver-etf-fof-direct-growth,
ICICI Prudential Equity & Debt Fund ,Hybrid,Very High,21.97,5000,100,1Year,https://groww.in/mutual-funds/icici-prudential-balanced-direct-growth,
ICICI Prudential Multi Asset Fund ,Hybrid,Very High,21.18,5000,100,1Year,https://groww.in/mutual-funds/icici-prudential-dynamic-plan-direct-growth,
ICICI Prudential Balanced Advantage ,Hybrid,Very High,13.62,500,100,1Year,https://groww.in/mutual-funds/icici-prudential-balanced-advantage-fund-direct-growth,
ICICI Prudential Asset Allocator Fund (FOF) ,Hybrid,High,15.34,5000,1000,1Year,https://groww.in/mutual-funds/icici-prudential-moderate-plan-direct-growth,
ICICI Prudential Income Optimizer Fund (FOF) ,Hybrid,Moderate,11.39,5000,1000,1Year,https://groww.in/mutual-funds/icici-prudential-cautious-plan-direct-growth,
ICICI Prudential Retirement Fund Hybrid Conservative Plan ,Hybrid,Moderate High,10.32,5000,100,5Year,https://groww.in/mutual-funds/icici-prudential-retirement-fund-hybrid-conservative-plan-direct-growth,
ICICI Prudential Equity Arbitrage ,Hybrid,Low,5.99,5000,1000,1 Month,https://groww.in/mutual-funds/icici-prudential-equity-arbitrage-fund-direct-gth,
ICICI Prudential Retirement Fund Hybrid Aggressive Plan ,Hybrid,Moderate High,19.67,5000,100,0,https://groww.in/mutual-funds/icici-prudential-retirement-fund-hybrid-aggressive-plan-direct-growth,
ICICI Prudential Equity Savings Fund ,Hybrid,Low Moderate,8.59,5000,100,7Days,https://groww.in/mutual-funds/icici-prudential-equity-i-come-fund-direct-growth,
ICICI Prudential Regular Savings Fund ,Hybrid,Moderate High,10.69,5000,100,1Year,https://groww.in/mutual-funds/icici-prudential-regular-savings-fund-direct-growth,
ICICI Prudential Passive Multi Asset FoF ,Hybrid,High,11.8,1000,100,1Year,https://groww.in/mutual-funds/icici-prudential-passive-multi-asset-fof-direct-growth,
ICICI Prudential Nifty Smallcap 250 Index Fund ,Equity,Very High,20.09,100,100,0,https://groww.in/mutual-funds/icici-prudential-smallcap-index-fund-direct-growth,
ICICI Prudential Smallcap Fund ,Equity,Very High,18.47,0,100,1Year,https://groww.in/mutual-funds/icici-prudential-indo-asia-equity-fund-direct-growth,
ICICI Prudential Multicap Fund ,Equity,Very High,21.77,5000,100,1Year,https://groww.in/mutual-funds/icici-prudential-multicap-fund-direct-growth,
ICICI Prudential Focused Equity Fund ,Equity,Very High,25.23,5000,100,1Year,https://groww.in/mutual-funds/icici-prudential-select-large-cap-fund-direct-growth,
ICICI Prudential Retirement Fund Pure Equity Plan ,Equity,Very High,24.88,5000,100,5Year,https://groww.in/mutual-funds/icici-prudential-retirement-fund-pure-equity-plan-direct-growth,
ICICI Prudential India Equity FOF ,Equity,Very High,26.02,500,100,1Year,https://groww.in/mutual-funds/icici-prudential-india-equity-fof-direct-growth,
ICICI Prudential Nifty Midcap 150 Index Fund ,Equity,Very High,22.6,100,100,0,https://groww.in/mutual-funds/icici-prudential-midcap-150-index-fund-direct-growth,
ICICI Prudential Midcap ,Equity,Very High,25.51,0,100,1Year,https://groww.in/mutual-funds/icici-prudential-midcap-fund-direct-growth,
ICICI Prudential Bluechip Fund ,Equity,Very High,19.43,100,100,1Year,https://groww.in/mutual-funds/icici-prudential-focused-bluechip-equity-fund-direct-growth,
ICICI Prudential BHARAT 22 FOF ,Equity,Very High,25.19,5000,1000,0,https://groww.in/mutual-funds/icici-prudential-bharat-22-fof-direct-growth,
ICICI Prudential ELSS Tax Saver ,Equity,Very High,18.54,500,500,3Year,https://groww.in/mutual-funds/icici-prudential-long-term-equity-fund-tax-saving-direct-growth,
ICICI Prudential Nifty Alpha Low Volatility 30 ETF FOF ,Equity,Very High,13.67,1000,100,0,https://groww.in/mutual-funds/icici-prudential-alpha-low-vol-30-etf-fof-direct-growth,
ICICI Prudential Large & Mid Cap Fund ,Equity,Very High,24.18,5000,100,1 Month,https://groww.in/mutual-funds/icici-prudential-top-100-fund-direct-growth,
ICICI Prudential Value Discovery ,Equity,Very High,26.07,1000,100,1Year,https://groww.in/mutual-funds/icici-prudential-value-discovery-fund-direct-growth,
ICICI Prudential Banking and Financial Services ,Equity,Very High,12.63,500,100,15Days,https://groww.in/mutual-funds/icici-prudential-banking-and-financial-services-fund-direct-growth,
ICICI Prudential Pharma Healthcare and Diagnostics  Fund ,Equity,Very High,32.11,5000,100,15Days,https://groww.in/mutual-funds/icici-prudential-pharma-healthcare-and-diagnostics-fund-direct-growth,
ICICI Prudential Infrastructure ,Equity,Very High,30.37,5000,100,15Days,https://groww.in/mutual-funds/icici-prudential-infrastructure-fund-direct-growth,
ICICI Prudential Technology ,Equity,Very High,30.73,5000,100,15Days,https://groww.in/mutual-funds/icici-prudential-technology-fund-direct-growth,
ICICI Prudential Dividend Yield Equity Fund ,Equity,Very High,17.26,5000,100,1Year,https://groww.in/mutual-funds/icici-prudential-dividend-yield-equity-fund-direct-growth,
ICICI Prudential India Opportunities Fund ,Equity,Very High,27.82,5000,100,1Year,https://groww.in/mutual-funds/icici-prudential-india-opportunities-fund-direct-growth,
ICICI Prudential Bharat Consumption Fund ,Equity,High,20.5,5000,100,3Months,https://groww.in/mutual-funds/icici-prudential-bharat-consumption-fund-direct-growth,
